Neighborhood,Median Household Income,Total Households,"Less Than $15,000",%,"$15,000-$24,999",%,"$25,000-$34,999",%,"$35,000-$49,999",%,"$50,000-$74,999",%,"$75,000-$99,999",%,"$100,000-$149,999",%,"$150,000+",%
Allston,"$73,337","11,158",1852.0,16.600%,613.0,5.500%,452.0,4.100%,1240.0,11.100%,1546.0,13.900%,1181.0,10.600%,2044.0,18.300%,2229.0,20.000%
Back Bay,"$128,685","10,166",1183.0,11.600%,396.0,3.900%,429.0,4.200%,311.0,3.100%,1147.0,11.300%,779.0,7.700%,1484.0,14.600%,4437.0,43.600%
Beacon Hill,"$147,117","5,504",371.0,6.700%,86.0,1.600%,215.0,3.900%,173.0,3.100%,391.0,7.100%,514.0,9.300%,1059.0,19.200%,2695.0,49.000%
Brighton,"$88,223","24,644",2993.0,12.100%,1711.0,6.900%,1053.0,4.300%,1731.0,7.000%,3163.0,12.800%,3500.0,14.200%,4632.0,18.800%,5860.0,23.800%
Charlestown,"$159,859","9,010",546.0,6.100%,517.0,5.700%,400.0,4.400%,368.0,4.100%,660.0,7.300%,652.0,7.200%,1171.0,13.000%,4696.0,52.100%
Chinatown,"$49,470","3,063",629.0,20.500%,380.0,12.400%,290.0,9.500%,243.0,7.900%,315.0,10.300%,308.0,10.100%,212.0,6.900%,685.0,22.400%
Dorchester,"$73,213","45,798",6709.0,14.600%,3919.0,8.600%,3194.0,7.000%,3659.0,8.000%,5759.0,12.600%,4528.0,9.900%,6662.0,14.500%,11369.0,24.800%
Downtown,"$127,335","6,152",1037.0,16.900%,356.0,5.800%,65.0,1.100%,272.0,4.400%,445.0,7.200%,395.0,6.400%,876.0,14.200%,2704.0,44.000%
East Boston,"$91,205","18,266",1894.0,10.400%,952.0,5.200%,963.0,5.300%,1366.0,7.500%,2519.0,13.800%,2246.0,12.300%,3154.0,17.300%,5172.0,28.300%
Fenway,"$49,540","14,674",3803.0,25.900%,1055.0,7.200%,715.0,4.900%,1826.0,12.400%,1343.0,9.200%,1830.0,12.500%,1419.0,9.700%,2683.0,18.300%
Hyde Park,"$103,651","12,527",953.0,7.600%,567.0,4.500%,813.0,6.500%,775.0,6.200%,1234.0,9.900%,1625.0,13.000%,3062.0,24.400%,3499.0,27.900%
Jamaica Plain,"$124,824","18,421",2032.0,11.000%,620.0,3.400%,888.0,4.800%,845.0,4.600%,1413.0,7.700%,1710.0,9.300%,3427.0,18.600%,7487.0,40.600%
Longwood,"$70,555",332,60.0,18.100%,25.0,7.500%,20.0,6.000%,19.0,5.700%,60.0,18.100%,22.0,6.600%,50.0,15.100%,76.0,22.900%
Mattapan,"$72,614","9,173",913.0,10.000%,658.0,7.200%,657.0,7.200%,1224.0,13.300%,1255.0,13.700%,913.0,10.000%,1539.0,16.800%,2013.0,21.900%
Mission Hill,"$59,050","6,914",1563.0,22.600%,537.0,7.800%,377.0,5.500%,601.0,8.700%,1020.0,14.800%,801.0,11.600%,810.0,11.700%,1206.0,17.400%
North End,"$114,115","6,286",384.0,6.100%,217.0,3.500%,141.0,2.200%,330.0,5.200%,604.0,9.600%,895.0,14.200%,1581.0,25.200%,2134.0,33.900%
Roslindale,"$113,073","11,869",866.0,7.300%,632.0,5.300%,443.0,3.700%,665.0,5.600%,1295.0,10.900%,1370.0,11.500%,2070.0,17.400%,4527.0,38.100%
Roxbury,"$42,045","20,747",4706.0,22.700%,2518.0,12.100%,1739.0,8.400%,2443.0,11.800%,2605.0,12.600%,1815.0,8.700%,1777.0,8.600%,3142.0,15.100%
South Boston,"$158,990","18,854",1675.0,8.900%,858.0,4.600%,627.0,3.300%,680.0,3.600%,1249.0,6.600%,1090.0,5.800%,2736.0,14.500%,9941.0,52.700%
South Boston Waterfront,"$189,456","4,682",112.0,2.400%,112.0,2.400%,19.0,0.400%,145.0,3.100%,262.0,5.600%,304.0,6.500%,839.0,17.900%,2889.0,61.700%
South End,"$122,366","17,811",3046.0,17.100%,1237.0,6.900%,420.0,2.400%,901.0,5.100%,1122.0,6.300%,1325.0,7.400%,2154.0,12.100%,7607.0,42.700%
West End,"$151,880","5,014",658.0,13.100%,251.0,5.000%,162.0,3.200%,88.0,1.800%,273.0,5.400%,394.0,7.900%,661.0,13.200%,2528.0,50.400%
West Roxbury,"$125,285","13,917",898.0,6.500%,886.0,6.400%,602.0,4.300%,945.0,6.800%,1448.0,10.400%,1165.0,8.400%,2069.0,14.900%,5904.0,42.400%
Boston,"$94,734","294,982",38883.0,13.200%,19103.0,6.500%,14684.0,5.000%,20850.0,7.100%,31128.0,10.600%,29362.0,10.000%,45488.0,15.400%,95483.0,32.400%